fpr,tpr
0,0.755295406
0.000231321,0.758247634
0.000231965,0.759497009
0.000232396,0.759974792
0.000233046,0.761543595
0.000233155,0.761987251
0.000233372,0.770030729
0.000234467,0.777935868
0.000235405,0.778486225
0.000462642,0.784122296
0.000464792,0.784361188
0.000466092,0.784585303
0.000466309,0.785028958
0.000466744,0.787637654
0.000468933,0.792380737
0.00047081,0.792747642
0.000699464,0.79296947
0.000700117,0.794273818
0.0007034,0.797435873
0.000706215,0.798536589
0.000925283,0.799073357
0.000932184,0.799745701
0.000932618,0.799967529
0.000933489,0.800184921
0.000937866,0.803149348
0.00094162,0.803883158
0.001156604,0.804151542
0.001163332,0.804384046
0.00116523,0.807073423
0.001165773,0.807295251
0.001166861,0.808599599
0.001177024,0.812819008
0.001398275,0.813267238
0.001398927,0.814154549
0.001400233,0.815241506
0.0014068,0.819589332
0.001412429,0.819772784
0.001619246,0.821651475
0.001626772,0.821890366
0.001631321,0.822114481
0.001632082,0.822558137
0.001633606,0.823210311
0.001641266,0.824988967
0.001647834,0.82590623
0.001850567,0.826711383
0.001864367,0.828280186
0.001866978,0.829149751
0.001875733,0.832114178
0.002087683,0.832364053
0.002097413,0.832588168
0.00210035,0.832805559
0.002110199,0.833596073
0.002118644,0.834880241
0.002330459,0.836449044
0.002333722,0.836883827
0.002344666,0.83905774
0.002354049,0.839424645
0.002544529,0.839693029
0.002563505,0.840141259
0.0025647,0.840363087
0.002567095,0.84101526
0.002579132,0.842596288
0.002589454,0.842779741
0.002796551,0.843003855
0.002800467,0.843656029
0.002813599,0.8448418
0.002824859,0.845208705
0.002846975,0.845369736
0.003007171,0.845906505
0.003015542,0.84615638
0.003024663,0.846388884
0.003029597,0.847061228
0.00303101,0.847283056
0.003033839,0.847500447
0.003048066,0.848290961
0.003060264,0.848474413
0.003262643,0.848922643
0.003264164,0.849144471
0.003267211,0.849579253
0.003282532,0.849776882
0.003295669,0.850143787
0.003489995,0.850376291
0.003495689,0.850824521
0.003728735,0.85127275
0.003733956,0.851490141
0.003751465,0.852873541
0.003766478,0.853056993
0.003967328,0.853274384
0.003985932,0.85386727
0.004001883,0.854234175
0.004194826,0.854682405
0.0042007,0.855117187
0.004415524,0.855356079
0.004434072,0.855790861
0.004454865,0.857767146
0.004472693,0.858134051
0.004639295,0.858383926
0.004708098,0.859301189
0.004893964,0.859749418
0.004923798,0.860342304
0.005134189,0.860994478
0.005158265,0.862180248
0.005360056,0.864421396
0.005392732,0.864619024
0.005414313,0.865352835
0.005593102,0.865576949
0.00559571,0.865798777
0.005649718,0.866349135
0.005826148,0.866797365
0.005861665,0.866994993
0.006067678,0.867647167
0.006096131,0.868042424
0.006330598,0.868240052
0.006476984,0.868508437
0.006534422,0.868943219
0.006591337,0.869126672
0.006642942,0.869287702
0.006799531,0.869682959
0.006826742,0.869866412
0.006991377,0.870090527
0.007033998,0.870683412
0.007062147,0.871050317
