precs,recalls
0,1
0.050483913,0.999775885
0.050774987,0.999775885
0.050897402,0.999775885
0.051020408,0.999775885
0.051185345,0.999322987
0.051329787,0.999322987
0.051442569,0.999322987
0.051568895,0.999096537
0.051742627,0.999096537
0.051923077,0.999096537
0.052094818,0.999096537
0.052246887,0.999096537
0.052369077,0.999096537
0.052485421,0.998857646
0.052602889,0.998857646
0.052738928,0.998857646
0.05286223,0.998857646
0.052985948,0.998857646
0.053110329,0.998857646
0.053239437,0.998857646
0.053360849,0.998857646
0.053492239,0.998857646
0.053617021,0.998857646
0.053745475,0.998857646
0.053876853,0.998857646
0.054001119,0.998857646
0.054137447,0.998857646
0.054263566,0.998857646
0.054396843,0.998857646
0.054504377,0.998857646
0.054600887,0.998857646
0.054703329,0.998857646
0.05479841,0.998638059
0.054893988,0.998638059
0.054997208,0.998638059
0.055095632,0.998638059
0.055197534,0.998638059
0.055295494,0.998638059
0.055396096,0.998638059
0.055492958,0.998638059
0.055606759,0.998638059
0.05571267,0.998638059
0.055812608,0.998638059
0.05591716,0.998638059
0.056019808,0.998638059
0.056124031,0.998638059
0.056228642,0.998638059
0.05633383,0.998638059
0.056434757,0.998638059
0.056544202,0.998638059
0.056648077,0.998638059
0.056755978,0.998638059
0.056859206,0.998638059
0.056965762,0.998638059
0.057068366,0.998638059
0.057169931,0.998638059
0.057260361,0.998638059
0.057351077,0.998638059
0.057440476,0.998638059
0.057543232,0.998399167
0.057652912,0.998399167
0.057766367,0.998399167
0.05787309,0.998399167
0.057989691,0.998399167
0.058100215,0.998399167
0.058214748,0.998399167
0.058325778,0.998399167
0.058439632,0.998399167
0.058555628,0.998399167
0.058665873,0.998399167
0.058785108,0.998399167
0.058911483,0.998399167
0.059021407,0.998399167
0.059136421,0.998399167
0.059247649,0.998399167
0.059329849,0.998399167
0.059421182,0.998399167
0.059505799,0.998215715
0.05959596,0.998215715
0.059686394,0.998215715
0.059770827,0.998215715
0.059846205,0.998215715
0.059923906,0.998215715
0.060005085,0.998215715
0.060087173,0.997976823
0.060173381,0.997976823
0.060267857,0.997976823
0.060358056,0.997976823
0.06045082,0.997976823
0.060540873,0.997976823
0.060635226,0.997976823
0.060730019,0.997976823
0.06082229,0.997976823
0.060915275,0.997976823
0.061008862,0.997976823
0.061104218,0.997976823
0.061184849,0.997976823
0.061259411,0.997976823
0.061331509,0.997976823
0.061406518,0.997815792
0.061484549,0.997815792
0.061556064,0.997815792
0.061634892,0.997815792
0.061704212,0.997815792
0.061782269,0.997815792
0.061858974,0.997815792
0.061937716,0.997815792
0.062008184,0.997815792
0.062088103,0.997815792
0.062164721,0.997815792
0.062231049,0.997815792
0.06229736,0.997815792
0.062361507,0.997815792
0.062433862,0.997815792
0.062516556,0.997589343
0.062587413,0.997589343
0.062666667,0.997589343
0.062747842,0.997589343
0.062825521,0.997589343
0.062899787,0.997589343
0.062982908,0.997589343
0.063060179,0.997589343
0.06313933,0.997589343
0.063219741,0.997589343
0.063299442,0.997589343
0.063382594,0.997589343
0.063457919,0.997589343
0.063542776,0.997589343
0.063620981,0.997589343
0.063698792,0.997589343
0.063780568,0.997589343
0.06386015,0.997589343
0.063941051,0.997589343
0.064023399,0.997589343
0.064106736,0.997589343
0.064185159,0.997589343
0.064269064,0.997589343
0.064338675,0.997589343
0.06441048,0.997589343
0.064481268,0.997589343
0.064559516,0.997589343
0.064624705,0.997350452
0.064694565,0.997350452
0.064765101,0.997350452
0.064842958,0.997350452
0.06491612,0.997126337
0.064987222,0.997126337
0.06505848,0.997126337
0.065127582,0.997126337
0.065201465,0.996965306
0.065283917,0.996965306
0.065365854,0.996965306
0.065439673,0.996965306
0.065513434,0.996965306
0.065601066,0.996804276
0.065688563,0.996804276
0.065780266,0.996804276
