fpr,tpr
0,0.078733561
0.000231321,0.078733561
0.00023175,0.078733561
0.000231803,0.08331022
0.000231965,0.096303723
0.000232019,0.096303723
0.000232396,0.096303723
0.000232666,0.097233739
0.000232937,0.097233739
0.000233046,0.097233739
0.000233155,0.100782985
0.000233209,0.10144509
0.000233263,0.10144509
0.000233372,0.10144509
0.000234467,0.101840347
0.000235405,0.101840347
0.000237248,0.101840347
0.000463285,0.102357946
0.000463607,0.103374981
0.000463929,0.105373981
0.000465333,0.110024063
0.000465983,0.115430686
0.000466309,0.121420038
0.000466418,0.121861442
0.000468933,0.122651956
0.000694927,0.122910755
0.00069541,0.123419273
0.000699464,0.124306584
0.0007034,0.125294726
0.000926569,0.125553525
0.000927214,0.125807784
0.000931966,0.12603306
0.000932618,0.126254888
0.000937866,0.126650145
0.001159017,0.127412922
0.001159824,0.128412422
0.001163332,0.129109934
0.001164958,0.129560486
0.001172333,0.130351
0.001389854,0.130868598
0.001391788,0.132367848
0.00139795,0.1328184
0.0014068,0.133213657
0.001623753,0.133463532
0.001628664,0.133928541
0.001630941,0.134829644
0.001632082,0.135051472
0.001632463,0.135492876
0.001641266,0.136085761
0.001861331,0.136550769
0.001865237,0.137216253
0.001875733,0.137809138
0.002084781,0.138067938
0.002096925,0.138293214
0.002098391,0.138736869
0.002098881,0.139178273
0.002316423,0.13995467
0.002318034,0.140208929
0.002331546,0.141096241
0.002551612,0.141346116
0.0025647,0.142011599
0.002565299,0.142453003
0.002579132,0.14284826
0.002783577,0.143597885
0.002797855,0.144041541
0.003013445,0.1442958
0.003015542,0.144545675
0.00303101,0.145211158
0.003247506,0.145461033
0.003264164,0.145904689
0.003264925,0.146346093
0.003477051,0.146600352
0.003479471,0.146850227
0.003489995,0.147082731
0.003494874,0.147308007
0.003516999,0.147703264
0.003706278,0.148479661
0.003708855,0.14873392
0.003722662,0.149198928
0.003730473,0.149642584
0.00393792,0.149901383
0.003943401,0.150401133
0.003963628,0.150622961
0.003964552,0.151064365
0.003985932,0.151261993
0.004175365,0.152011618
0.004187994,0.152476626
0.004193849,0.152701902
0.004196782,0.15292373
0.004197761,0.153365134
0.004220399,0.153562762
0.004420661,0.154027771
0.004429937,0.155358738
0.004454865,0.155556366
0.004663092,0.156000022
0.004689332,0.156395279
0.004867872,0.156649538
0.00487126,0.156899413
0.004885993,0.157131917
0.005098494,0.157387671
0.005103224,0.158137296
0.00511866,0.158834809
0.005129401,0.159056636
0.005158265,0.159451893
0.005362555,0.159673721
0.005561993,0.159929476
0.005567154,0.160179351
0.005583993,0.160411855
0.005591799,0.160862407
0.00559571,0.161084235
0.005627198,0.161281863
0.005799119,0.161531738
0.005816659,0.161996746
0.00582479,0.162447298
0.005828865,0.163112782
0.006031083,0.163362657
0.006049325,0.163595161
0.006057782,0.163820437
0.006063433,0.164041139
0.006330598,0.164634024
0.006726977,0.165133774
0.006761483,0.165355602
0.006799531,0.165750859
0.006958942,0.166000734
0.006979991,0.166233238
0.006989748,0.166458514
0.006996269,0.166899918
0.007033998,0.168480945
0.00722274,0.168706221
0.007227792,0.168928049
0.007229478,0.169369453
0.007455732,0.169820005
0.007460947,0.170041833
0.007502931,0.170239461
0.00764774,0.17075097
0.007654836,0.17125072
0.00767799,0.171483224
0.007688723,0.1717085
0.007695896,0.171929202
0.00787949,0.172184957
0.007881317,0.172439215
0.007910656,0.17267172
0.007921715,0.172896995
0.007927256,0.173118823
0.007929104,0.173339525
0.008107482,0.174115923
0.00811312,0.174370182
0.008118766,0.174620057
0.008152807,0.174846506
0.008154706,0.175297058
0.008339124,0.175555857
0.008352668,0.175804304
0.008393565,0.17624796
0.008440797,0.176643217
0.008582695,0.176893092
0.008675264,0.177288349
0.00886194,0.177729752
0.00890973,0.177927381
0.009046625,0.178677006
0.009086673,0.178902282
0.009093029,0.17912411
0.009265694,0.179382909
0.009269988,0.179638664
0.009280742,0.180135558
0.009317494,0.180362007
0.009319664,0.180587283
0.009326183,0.181030939
0.009510554,0.181780564
0.009559338,0.182002392
0.009733488,0.182258146
0.009785648,0.182708698
0.009792492,0.183152354
0.009960621,0.183411153
0.009974484,0.183910903
0.010206449,0.184160778
0.010249243,0.184387228
0.010440835,0.184635675
0.010491956,0.184857503
0.010494403,0.185078205
0.010550996,0.185275833
0.010715118,0.185502282
0.010717614,0.185727558
0.010725111,0.186171214
0.010958265,0.186393042
0.011126565,0.186647301
0.011183597,0.187323129
0.01119142,0.187544957
0.011400651,0.187777461
0.011427239,0.187998162
0.011657729,0.188441818
0.01181376,0.188700617
0.011832947,0.188949065
0.012124038,0.189836376
0.012192263,0.190034004
0.012277044,0.190292804
0.012282735,0.190548558
0.012348555,0.190773834
0.012357193,0.19121749
0.012529002,0.191962831
0.012761021,0.192211279
0.012814539,0.19266183
0.012823502,0.192883658
0.012826493,0.193325062
0.013029316,0.193557566
0.013056657,0.19422305
0.013209733,0.194478804
0.013212796,0.194987322
0.013225058,0.195484216
0.013261982,0.19571672
0.013494649,0.195949224
0.013513514,0.1961745
0.013522966,0.196396328
